name,☺,✋,✌,✨,❤,🎵,🎶,👀,👊,👌,👍,👏,💀,💁,💓,💔,💕,💖,💙,💛,💜,💪,💯,🔫,😁,😂,😄,😅,😈,😉,😊,😋,😌,😍,😎,😏,😐,😑,😒,😓,😔,😕,😖,😘,😜,😞,😠,😡,😢,😣,😤,😩,😪,😫,😬,😭,😳,😴,😷,🙅,🙈,🙊,🙌,🙏,sum
7th Legion,0.9090909090909091,0.0,1.5909090909090908,0.45454545454545453,0.9090909090909091,0.45454545454545453,0.6818181818181818,0.6818181818181818,2.272727272727273,0.9090909090909091,4.772727272727273,1.5909090909090908,0.0,0.45454545454545453,0.9090909090909091,1.8181818181818181,0.0,0.0,0.9090909090909091,0.9090909090909091,0.6818181818181818,0.45454545454545453,0.45454545454545453,0.6818181818181818,1.5909090909090908,0.0,3.1818181818181817,1.8181818181818181,2.0454545454545454,3.4090909090909087,1.3636363636363635,0.0,0.6818181818181818,0.0,1.5909090909090908,0.45454545454545453,4.318181818181818,3.6363636363636362,3.1818181818181817,3.1818181818181817,2.0454545454545454,4.545454545454546,2.9545454545454546,0.0,2.5,4.090909090909091,4.318181818181818,4.090909090909091,3.8636363636363633,3.1818181818181817,3.8636363636363633,0.22727272727272727,1.3636363636363635,0.45454545454545453,4.545454545454546,0.0,2.0454545454545454,0.0,0.0,0.22727272727272727,0.45454545454545453,0.22727272727272727,0.22727272727272727,1.8181818181818181,440
8-bit Armies,1.5,0.0,2.75,0.75,1.5,0.25,0.5,1.0,2.75,1.0,5.0,3.0,0.0,0.0,2.25,1.25,0.25,0.0,1.0,2.0,0.5,1.25,1.0,1.0,1.25,0.5,3.75,0.75,2.25,4.0,1.7500000000000002,0.0,0.25,0.5,2.75,0.25,3.75,3.0,1.7500000000000002,2.25,0.25,3.25,2.5,0.0,3.75,2.75,4.25,3.75,3.25,3.25,3.5000000000000004,0.25,0.5,0.25,4.0,0.5,0.5,0.0,0.5,0.25,0.25,0.0,1.0,2.25,400
8-bit Armies - Guardians Campaign,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,1.25,1.25,3.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,3.75,0.0,3.75,3.75,3.75,0.0,0.0,0.0,3.75,0.0,5.0,5.0,2.5,2.5,1.25,5.0,2.5,0.0,3.75,3.75,5.0,5.0,3.75,5.0,5.0,1.25,1.25,1.25,5.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,80
8-bit Armies Soundtrack,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20
8-bit Hordes,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,5.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,5.0,5.0,2.5,0.0,0.0,0.0,2.5,0.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,0.0,5.0,2.5,5.0,5.0,2.5,2.5,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
8-bit Invaders,2.5,0.0,4.166666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,3.3333333333333335,2.5,5.0,2.5,0.0,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.0,0.0,0.8333333333333334,1.6666666666666667,0.0,2.5,0.8333333333333334,0.0,2.5,0.0,4.166666666666666,2.5,3.3333333333333335,4.166666666666666,4.166666666666666,0.8333333333333334,1.6666666666666667,0.0,3.3333333333333335,1.6666666666666667,4.166666666666666,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,4.166666666666666,0.8333333333333334,0.0,4.166666666666666,1.6666666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.8333333333333334,2.5,0.0,0.8333333333333334,0.8333333333333334,5.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,120
80 Days,1.9444444444444444,0.0,2.2222222222222223,1.1111111111111112,3.0555555555555554,0.0,0.0,0.8333333333333334,1.9444444444444444,1.1111111111111112,5.0,2.7777777777777777,0.0,0.0,3.0555555555555554,1.6666666666666667,0.2777777777777778,0.5555555555555556,1.9444444444444444,3.3333333333333335,1.9444444444444444,1.1111111111111112,0.8333333333333334,0.0,1.1111111111111112,0.0,3.888888888888889,0.8333333333333334,3.3333333333333335,3.6111111111111107,2.7777777777777777,0.0,0.0,0.0,1.9444444444444444,0.2777777777777778,3.3333333333333335,2.7777777777777777,1.1111111111111112,1.6666666666666667,1.1111111111111112,4.166666666666666,1.9444444444444444,0.0,3.3333333333333335,2.7777777777777777,3.6111111111111107,3.888888888888889,3.3333333333333335,2.5,1.9444444444444444,0.0,0.2777777777777778,0.2777777777777778,3.6111111111111107,0.0,0.8333333333333334,0.0,0.2777777777777778,0.0,0.2777777777777778,0.0,1.1111111111111112,3.3333333333333335,360
88 Heroes,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.5,0.0,5.0,2.5,0.0,0.0,5.0,5.0,0.0,0.0,2.5,5.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,5.0,2.5,0.0,0.0,5.0,5.0,5.0,5.0,2.5,5.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40
99 Levels to Hell,1.153846153846154,0.0,1.9230769230769231,0.38461538461538464,1.153846153846154,0.38461538461538464,0.38461538461538464,0.0,2.307692307692308,1.153846153846154,4.615384615384616,1.9230769230769231,0.0,0.0,1.153846153846154,2.307692307692308,0.0,0.0,1.153846153846154,1.5384615384615385,0.7692307692307693,0.7692307692307693,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,2.307692307692308,0.7692307692307693,2.6923076923076925,2.6923076923076925,1.153846153846154,0.0,0.0,0.0,1.5384615384615385,0.0,4.230769230769231,3.8461538461538463,3.4615384615384617,2.6923076923076925,2.6923076923076925,4.230769230769231,3.4615384615384617,0.0,1.9230769230769231,3.4615384615384617,4.615384615384616,4.615384615384616,3.4615384615384617,3.8461538461538463,3.8461538461538463,0.0,2.307692307692308,0.0,5.0,0.38461538461538464,1.9230769230769231,0.7692307692307693,0.0,0.38461538461538464,0.0,0.0,0.7692307692307693,2.307692307692308,260
>observer_,1.40625,0.0,1.25,0.78125,2.03125,0.15625,0.3125,0.625,2.1875,0.78125,4.53125,2.1875,0.15625,0.15625,2.8125,3.125,0.0,0.15625,1.25,2.8125,0.9375,1.5625,0.78125,0.9375,0.78125,0.15625,2.03125,0.625,2.65625,2.65625,1.09375,0.15625,0.3125,0.3125,1.40625,0.0,3.75,2.34375,1.25,2.96875,1.875,4.0625,3.90625,0.0,2.8125,3.4375000000000004,4.0625,4.0625,3.90625,3.5937499999999996,3.5937499999999996,0.0,1.25,0.15625,3.5937499999999996,0.15625,1.09375,0.3125,0.3125,0.15625,0.46875,0.15625,0.3125,3.28125,640
